"DATE","TIME PERIOD","AAA yield curve - Beta 0 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA0)","AAA yield curve - Beta 1 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA1)","AAA yield curve - Beta 2 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA2)","AAA yield curve - Beta 3 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.BETA3)","AAA yield curve - Tau 1 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.TAU1)","AAA yield curve - Tau 2 (YC.B.U2.EUR.4F.G_N_A.SV_C_YM.TAU2)"
"2004-11-25","25 Nov 2004","5.050901","-2.941252","-0.083120","-1.979294","2.986637","1.967499"
"2004-11-26","26 Nov 2004","5.017465","-2.909812","-0.059193","-1.971985","2.962785","1.915084"
"2004-11-29","29 Nov 2004","5.048122","-2.940024","-0.023459","-1.921942","2.945607","1.942757"
"2004-11-30","30 Nov 2004","5.038450","-2.935553","-0.045806","-1.947018","2.969426","1.928005"
"2004-12-01","01 Dec 2004","5.013277","-2.913338","-0.059740","-1.970424","2.984248","1.888618"
"2004-12-02","02 Dec 2004","5.013726","-2.909787","-0.017181","-1.889957","2.940730","1.939693"
"2004-12-03","03 Dec 2004","5.022733","-2.915098","-0.066356","-1.936758","2.991931","1.955478"
"2004-12-06","06 Dec 2004","4.987152","-2.884398","-0.095334","-1.982615","3.061604","1.887512"
"2004-12-07","07 Dec 2004","4.980012","-2.875863","-0.122736","-1.991509","3.094169","1.928663"
"2004-12-08","08 Dec 2004","4.956224","-2.858869","-0.088150","-1.918790","3.064356","1.985443"
"2004-12-09","09 Dec 2004","4.886601","-2.792077","-0.090717","-1.895102","3.166643","2.017567"
"2004-12-10","10 Dec 2004","4.857814","-2.754461","-0.094176","-1.862078","3.173119","2.084846"
"2004-12-13","13 Dec 2004","4.847939","-2.757584","-0.067405","-1.836402","3.152065","2.068411"
"2004-12-14","14 Dec 2004","4.817362","-2.720340","-0.059526","-1.821321","3.147830","2.073220"
"2004-12-15","15 Dec 2004","4.755337","-2.658680","-0.063051","-1.805988","3.155912","2.092661"
"2004-12-16","16 Dec 2004","4.750916","-2.676978","-0.014056","-1.649391","3.116218","2.241469"
"2004-12-17","17 Dec 2004","4.761559","-2.696349","0.059430","-1.549355","3.088832","2.266808"
"2004-12-20","20 Dec 2004","4.767469","-2.685826","-0.000771","-1.627707","3.156714","2.214219"
"2004-12-21","21 Dec 2004","4.780038","-2.655081","0.002615","-1.599256","3.130371","2.246883"
"2004-12-22","22 Dec 2004","4.829954","-2.778410","-0.018513","-1.440225","3.154609","2.704983"
"2004-12-23","23 Dec 2004","4.846294","-2.801591","-0.066017","-1.483287","3.217246","2.703045"
"2004-12-24","24 Dec 2004","4.946400","-2.911414","-0.202146","-1.510823","3.362607","3.085703"
"2004-12-27","27 Dec 2004","4.868212","-2.825715","-0.051423","-1.413867","3.265719","2.735150"
"2004-12-28","28 Dec 2004","4.847342","-2.726180","-0.052576","-1.607226","3.242539","2.256267"
"2004-12-29","29 Dec 2004","4.935448","-2.901208","-0.020565","-1.260179","3.277059","2.921445"
"2004-12-30","30 Dec 2004","4.944608","-2.919941","-0.027469","-1.261582","3.283035","2.943815"
"2004-12-31","31 Dec 2004","4.962170","-2.960750","-0.036503","-1.234623","3.293291","3.106725"
"2005-01-03","03 Jan 2005","4.961704","-2.890864","-0.111447","-1.415937","3.395999","2.723281"
"2005-01-04","04 Jan 2005","4.909715","-2.913265","-0.025017","-1.205345","3.337923","3.099315"
"2005-01-05","05 Jan 2005","4.913796","-2.911350","0.009475","-1.171742","3.317917","3.090908"
"2005-01-06","06 Jan 2005","4.845211","-2.829891","0.017249","-1.295412","3.335752","2.579415"
"2005-01-07","07 Jan 2005","4.814018","-2.808103","0.009410","-1.320543","3.342847","2.549312"
"2005-01-10","10 Jan 2005","4.803630","-2.812945","0.027992","-1.304500","3.327327","2.552352"
"2005-01-11","11 Jan 2005","4.776367","-2.757960","0.031849","-1.289802","3.321481","2.572910"
"2005-01-12","12 Jan 2005","4.785959","-2.768485","0.036315","-1.284450","3.318727","2.577994"
"2005-01-13","13 Jan 2005","4.748981","-2.729806","0.037150","-1.378506","3.343149","2.387620"
"2005-01-14","14 Jan 2005","4.696065","-2.676104","0.076343","-1.324728","3.311928","2.404007"
"2005-01-17","17 Jan 2005","4.666261","-2.649599","0.072276","-1.330649","3.318276","2.401859"
"2005-01-18","18 Jan 2005","4.647503","-2.630901","0.116521","-1.286644","3.285330","2.399114"
"2005-01-19","19 Jan 2005","4.550269","-2.527260","0.169584","-1.298399","3.258105","2.293440"
"2005-01-20","20 Jan 2005","4.627916","-2.611958","0.175631","-1.252196","3.282445","2.405517"
"2005-01-21","21 Jan 2005","4.647069","-2.625141","0.178711","-1.307829","3.289972","2.326139"
"2005-01-24","24 Jan 2005","4.627128","-2.608948","0.157666","-1.341639","3.308911","2.310278"
"2005-01-25","25 Jan 2005","4.537460","-2.517956","0.218673","-1.339889","3.273921","2.201084"
"2005-01-26","26 Jan 2005","4.553100","-2.542150","0.274645","-1.277940","3.250629","2.196499"
"2005-01-27","27 Jan 2005","4.564780","-2.564200","0.301723","-1.188365","3.224543","2.304785"
"2005-01-28","28 Jan 2005","4.567915","-2.555352","0.236116","-1.270057","3.306912","2.276955"
"2005-01-31","31 Jan 2005","4.554784","-2.541287","0.247782","-1.250354","3.296921","2.294347"
"2005-02-01","01 Feb 2005","4.554123","-2.559092","0.256811","-1.227752","3.288604","2.325870"
"2005-02-02","02 Feb 2005","4.497625","-2.489132","0.281930","-1.202426","3.270427","2.319687"
"2005-02-03","03 Feb 2005","4.425891","-2.404870","0.404219","-1.173105","3.208338","2.164755"
"2005-02-04","04 Feb 2005","4.373578","-2.359425","0.400298","-1.159020","3.267390","2.177159"
"2005-02-07","07 Feb 2005","4.291988","-2.285209","0.445583","-1.083910","3.229144","2.208406"
"2005-02-08","08 Feb 2005","4.331691","-2.329702","0.373009","-1.009078","3.237600","2.484203"
"2005-02-09","09 Feb 2005","4.269986","-2.262479","0.429601","-1.090029","3.264034","2.295259"
"2005-02-10","10 Feb 2005","4.290797","-2.281036","0.395309","-1.152857","3.300137","2.264536"
"2005-02-11","11 Feb 2005","4.370626","-2.355344","0.373726","-1.205352","3.351128","2.239245"
"2005-02-14","14 Feb 2005","4.394650","-2.381372","0.399289","-1.164653","3.345254","2.271469"
"2005-02-15","15 Feb 2005","4.400730","-2.402702","0.397178","-1.080667","3.331670","2.431901"
"2005-02-16","16 Feb 2005","4.462988","-2.472714","0.250691","-1.045842","3.396974","2.737969"
"2005-02-17","17 Feb 2005","4.499687","-2.515593","0.487367","-0.990058","3.459540","2.467551"
"2005-02-18","18 Feb 2005","4.568960","-2.600033","0.587767","-0.944448","3.502703","2.398993"
"2005-02-21","21 Feb 2005","4.585988","-2.614132","0.596298","-0.922855","3.499147","2.419569"
"2005-02-22","22 Feb 2005","4.606304","-2.621707","0.649152","-1.022589","3.523651","2.272790"
"2005-02-23","23 Feb 2005","4.614006","-2.620885","0.620655","-1.073718","3.559631","2.258667"
"2005-02-24","24 Feb 2005","4.650509","-2.654913","0.624067","-1.064950","3.570937","2.280924"
"2005-02-25","25 Feb 2005","4.646518","-2.655135","0.681115","-1.003643","3.532432","2.279482"
"2005-02-28","28 Feb 2005","4.621124","-2.631788","0.667063","-1.008671","3.544824","2.293140"
"2005-03-01","01 Mar 2005","4.672199","-2.683083","0.664603","-1.034707","3.573310","2.284257"
"2005-03-02","02 Mar 2005","4.750967","-2.761493","0.708861","-1.048257","3.625123","2.237596"
"2005-03-03","03 Mar 2005","4.772412","-2.782650","0.668699","-1.116325","3.671144","2.221055"
"2005-03-04","04 Mar 2005","4.708420","-2.707111","0.701822","-1.211323","3.725560","2.108217"
"2005-03-07","07 Mar 2005","4.660055","-2.657664","0.709221","-1.237262","3.772202","2.083042"
"2005-03-08","08 Mar 2005","4.700155","-2.695757","0.739581","-1.259878","3.784695","2.046324"
"2005-03-09","09 Mar 2005","4.761604","-2.756955","0.810475","-1.217884","3.810673","2.021965"
"2005-03-10","10 Mar 2005","4.761656","-2.754827","0.811839","-1.240992","3.821054","2.018179"
"2005-03-11","11 Mar 2005","4.804589","-2.796138","0.798947","-1.280509","3.845423","2.014299"
"2005-03-14","14 Mar 2005","4.783805","-2.784186","0.829932","-1.213446","3.817717","2.048022"
"2005-03-15","15 Mar 2005","4.725697","-2.719616","0.808082","-1.207883","3.885040","2.071855"
"2005-03-16","16 Mar 2005","4.691312","-2.703268","0.759747","-0.983663","3.856156","2.382046"
"2005-03-17","17 Mar 2005","4.665730","-2.665495","0.734456","-1.003774","3.879228","2.390095"
"2005-03-18","18 Mar 2005","4.703173","-2.711724","0.759546","-0.948097","3.881606","2.431483"
"2005-03-21","21 Mar 2005","4.677666","-2.687581","0.786415","-0.881131","3.850704","2.472146"
"2005-03-22","22 Mar 2005","4.648812","-2.655240","0.715054","-0.832369","3.892205","2.643820"
"2005-03-23","23 Mar 2005","4.655866","-2.660335","0.774519","-0.768988","3.881790","2.650047"
"2005-03-24","24 Mar 2005","4.668642","-2.667729","0.686067","-0.746445","3.940837","2.821067"
"2005-03-29","29 Mar 2005","4.669565","-2.674392","0.705107","-0.729131","3.932401","2.824094"
"2005-03-30","30 Mar 2005","4.683654","-2.682919","0.679399","-0.776993","3.966024","2.812250"
"2005-03-31","31 Mar 2005","4.676646","-2.690939","0.645042","-0.876801","4.033880","2.755857"
"2005-04-01","01 Apr 2005","4.712748","-2.721438","0.566877","-1.020467","4.140419","2.700780"
"2005-04-04","04 Apr 2005","4.618646","-2.601717","0.779194","-1.125690","4.079050","2.381592"
"2005-04-05","05 Apr 2005","4.607390","-2.590867","0.776802","-1.113931","4.080817","2.406297"
"2005-04-06","06 Apr 2005","4.663069","-2.648737","0.725278","-1.150715","4.130519","2.477001"
"2005-04-07","07 Apr 2005","4.686788","-2.680453","0.688046","-1.213753","4.166639","2.463416"
"2005-04-08","08 Apr 2005","4.749901","-2.740342","0.663016","-1.255215","4.199855","2.464958"
"2005-04-11","11 Apr 2005","4.720840","-2.716998","0.675015","-1.255510","4.195548","2.444286"
"2005-04-12","12 Apr 2005","4.681591","-2.680796","0.691655","-1.214196","4.176465","2.459362"
"2005-04-13","13 Apr 2005","4.674603","-2.671303","0.643239","-1.221638","4.203809","2.502064"
"2005-04-14","14 Apr 2005","4.686526","-2.687930","0.654182","-1.214947","4.198927","2.490684"
"2005-04-15","15 Apr 2005","4.693098","-2.698828","0.602025","-1.315787","4.252356","2.439427"
"2005-04-18","18 Apr 2005","4.687252","-2.707780","0.614331","-1.296054","4.242001","2.441325"
"2005-04-19","19 Apr 2005","4.623984","-2.621125","0.639139","-1.387938","4.265003","2.257830"
"2005-04-20","20 Apr 2005","4.629628","-2.619861","0.631434","-1.408375","4.272170","2.240638"
"2005-04-21","21 Apr 2005","4.586590","-2.555161","0.769182","-1.467569","4.225546","2.006351"
"2005-04-22","22 Apr 2005","4.602907","-2.601177","0.684022","-1.400151","4.266457","2.195201"
"2005-04-25","25 Apr 2005","4.589215","-2.582342","0.669042","-1.403555","4.274938","2.208161"
"2005-04-26","26 Apr 2005","4.569002","-2.565897","0.661698","-1.408519","4.282533","2.214352"
"2005-04-27","27 Apr 2005","4.529527","-2.528097","0.656826","-1.419899","4.286000","2.193226"
"2005-04-28","28 Apr 2005","4.541211","-2.538647","0.649357","-1.472898","4.297175","2.145535"
"2005-04-29","29 Apr 2005","4.546603","-2.525793","0.719650","-1.539965","4.285392","2.003966"
"2005-05-02","02 May 2005","4.393801","-2.380237","1.948615","-2.467115","4.370160","2.540529"
"2005-05-03","03 May 2005","4.388216","-2.376649","1.938219","-2.501198","4.393521","2.494502"
"2005-05-04","04 May 2005","4.409978","-2.395672","1.977101","-2.476682","4.394617","2.476549"
"2005-05-05","05 May 2005","4.429553","-2.417051","1.944544","-2.500602","4.420001","2.507091"
"2005-05-06","06 May 2005","4.432782","-2.427492","1.979984","-2.439258","4.379067","2.519911"
"2005-05-09","09 May 2005","4.408544","-2.408087","1.998111","-2.404743","4.350995","2.527021"
"2005-05-10","10 May 2005","4.331532","-2.320455","1.950917","-2.457611","4.412633","2.490625"
"2005-05-11","11 May 2005","4.293827","-2.277874","1.937425","-2.456312","4.414034","2.509728"
"2005-05-12","12 May 2005","4.288275","-2.274368","1.942635","-2.426457","4.396163","2.549447"
"2005-05-13","13 May 2005","4.283968","-2.273698","1.886375","-2.427859","4.402413","2.655667"
"2005-05-16","16 May 2005","4.265634","-2.249468","1.909303","-2.412176","4.386350","2.610664"
"2005-05-17","17 May 2005","4.285282","-2.271900","1.909125","-2.415114","4.394367","2.611543"
"2005-05-18","18 May 2005","4.213353","-2.203681","1.916202","-2.392499","4.377318","2.615605"
"2005-05-19","19 May 2005","4.204468","-2.194772","1.944177","-2.365564","4.364896","2.608664"
"2005-05-20","20 May 2005","4.237207","-2.237508","1.984782","-2.288540","4.331919","2.695599"
"2005-05-23","23 May 2005","4.211006","-2.204166","1.965519","-2.307368","4.349144","2.707507"
"2005-05-24","24 May 2005","4.183394","-2.168000","1.927451","-2.388152","4.419840","2.611686"
"2005-05-25","25 May 2005","4.207639","-2.185524","1.897434","-2.457344","4.470548","2.545027"
"2005-05-26","26 May 2005","4.248235","-2.223097","1.932544","-2.437826","4.482214","2.511560"
"2005-05-27","27 May 2005","4.322905","-2.290940","1.887963","-2.507944","4.543247","2.506883"
"2005-05-30","30 May 2005","4.332517","-2.300537","1.879525","-2.514110","4.549263","2.511690"
"2005-05-31","31 May 2005","4.251521","-2.241739","1.852228","-2.446532","4.543908","2.568124"
"2005-06-01","01 Jun 2005","4.267432","-2.257751","1.768723","-2.540052","4.587854","2.381414"
"2005-06-02","02 Jun 2005","4.382085","-2.290299","-0.231786","-1.605246","3.752295","1.550862"
"2005-06-03","03 Jun 2005","4.300872","-2.190887","-0.251877","-1.641439","3.824679","1.544788"
"2005-06-06","06 Jun 2005","4.276859","-2.167840","0.062601","-1.904420","3.630783","1.638256"
"2005-06-07","07 Jun 2005","4.198110","-2.067550","0.049347","-1.972662","3.682329","1.580838"
"2005-06-08","08 Jun 2005","4.156074","-2.011576","0.045598","-2.070427","3.688517","1.535513"
"2005-06-09","09 Jun 2005","4.089371","-1.979130","1.107915","-2.942303","3.330351","1.980302"
"2005-06-10","10 Jun 2005","4.089679","-2.004729","1.125826","-2.868175","3.275028","2.056258"
"2005-06-13","13 Jun 2005","4.158172","-2.077104","1.092132","-2.895573","3.302877","2.042785"
"2005-06-14","14 Jun 2005","4.179851","-2.108235","1.083792","-2.882366","3.291641","2.069973"
"2005-06-15","15 Jun 2005","4.307961","-2.260215","1.125070","-2.799694","3.301647","2.162561"
"2005-06-16","16 Jun 2005","4.308785","-2.273092","1.186598","-2.691278","3.268072","2.126608"
"2005-06-17","17 Jun 2005","4.255654","-2.212308","1.175400","-2.687533","3.257485","2.091739"
"2005-06-20","20 Jun 2005","4.282049","-2.227971","1.133753","-2.743414","3.293687","1.997184"
"2005-06-21","21 Jun 2005","4.187457","-2.119197","1.041266","-2.824027","3.364031","1.908877"
"2005-06-22","22 Jun 2005","4.082063","-1.999394","0.994248","-2.826695","3.407567","1.859536"
"2005-06-23","23 Jun 2005","4.115074","-2.043367","0.968482","-2.798080","3.391265","1.906381"
"2005-06-24","24 Jun 2005","4.082933","-2.007678","0.950470","-2.775380","3.383562","1.919462"
"2005-06-27","27 Jun 2005","4.068686","-1.983867","0.908156","-2.790346","3.392126","1.897579"
"2005-06-28","28 Jun 2005","4.146441","-2.060423","0.887841","-2.774749","3.405242","1.925801"
"2005-06-29","29 Jun 2005","4.143365","-2.047136","0.836661","-2.815182","3.433887","1.913982"
"2005-06-30","30 Jun 2005","4.135005","-2.026965","0.829688","-2.789856","3.418016","1.857557"
"2005-07-01","01 Jul 2005","4.107609","-2.012392","0.838960","-2.717162","3.382733","1.908393"
"2005-07-04","04 Jul 2005","4.152600","-2.072085","0.858071","-2.620743","3.317802","2.023132"
"2005-07-05","05 Jul 2005","4.197460","-2.148645","0.903282","-2.492389","3.250627","2.154290"
"2005-07-06","06 Jul 2005","4.190071","-2.145104","0.911548","-2.475556","3.235780","2.155117"
"2005-07-07","07 Jul 2005","4.207857","-2.157464","0.820340","-2.537427","3.325931","2.102102"
"2005-07-08","08 Jul 2005","4.157382","-2.095039","0.830278","-2.505547","3.306790","2.109898"
"2005-07-11","11 Jul 2005","4.262350","-2.203632","0.813569","-2.509594","3.343739","2.273336"
"2005-07-12","12 Jul 2005","4.283983","-2.236682","0.826173","-2.487177","3.338768","2.350867"
"2005-07-13","13 Jul 2005","4.323248","-2.282088","0.837402","-2.471958","3.342888","2.401682"
"2005-07-14","14 Jul 2005","4.369921","-2.333045","0.866060","-2.450162","3.359665","2.405222"
"2005-07-15","15 Jul 2005","4.352499","-2.305403","0.888364","-2.438692","3.354450","2.388193"
"2005-07-18","18 Jul 2005","4.308935","-2.256566","0.877401","-2.458379","3.373631","2.378456"
"2005-07-19","19 Jul 2005","4.322809","-2.276651","0.914596","-2.432623","3.373746","2.379666"
"2005-07-20","20 Jul 2005","4.287133","-2.238286","0.979815","-2.387700","3.353544","2.281857"
"2005-07-21","21 Jul 2005","4.319016","-2.252901","0.916203","-2.466185","3.423784","2.278233"
"2005-07-22","22 Jul 2005","4.269624","-2.202046","0.904031","-2.484748","3.437360","2.268387"
"2005-07-25","25 Jul 2005","4.252365","-2.183274","0.909478","-2.480370","3.439190","2.284953"
"2005-07-26","26 Jul 2005","4.261347","-2.190095","0.930741","-2.450055","3.422500","2.325619"
"2005-07-27","27 Jul 2005","4.242239","-2.165009","0.921812","-2.463341","3.439378","2.332048"
"2005-07-28","28 Jul 2005","4.247069","-2.175896","0.943300","-2.437085","3.431050","2.385990"
"2005-07-29","29 Jul 2005","4.245323","-2.171810","0.964463","-2.433002","3.441234","2.394804"
"2005-08-01","01 Aug 2005","4.300953","-2.244536","1.016326","-2.359078","3.432668","2.537513"
"2005-08-02","02 Aug 2005","4.299309","-2.258403","1.036451","-2.344876","3.433077","2.548138"
"2005-08-03","03 Aug 2005","4.301088","-2.247346","1.123755","-2.306948","3.457869","2.425785"
"2005-08-04","04 Aug 2005","4.284901","-2.229782","1.132329","-2.302131","3.464964","2.443457"
"2005-08-05","05 Aug 2005","4.322366","-2.276280","1.197810","-2.238239","3.472090","2.479798"
"2005-08-08","08 Aug 2005","4.306192","-2.265166","1.224737","-2.215735","3.464917","2.486081"
"2005-08-09","09 Aug 2005","4.278296","-2.234603","1.231237","-2.205993","3.462880","2.507553"
"2005-08-10","10 Aug 2005","4.254118","-2.204864","1.227702","-2.215697","3.481083","2.508071"
"2005-08-11","11 Aug 2005","4.260253","-2.213568","1.234849","-2.226170","3.501727","2.485688"
"2005-08-12","12 Aug 2005","4.252338","-2.198580","1.193710","-2.285979","3.574663","2.453527"
"2005-08-15","15 Aug 2005","4.209264","-2.136661","1.196252","-2.340089","3.623558","2.350288"
"2005-08-16","16 Aug 2005","4.201595","-2.118873","1.168105","-2.391554","3.664676","2.318183"
"2005-08-17","17 Aug 2005","4.181590","-2.098500","1.155971","-2.407729","3.683122","2.334935"
"2005-08-18","18 Aug 2005","4.159852","-2.078462","1.153487","-2.419292","3.695399","2.330707"
"2005-08-19","19 Aug 2005","4.144289","-2.066228","1.161458","-2.400062","3.684806","2.359811"
"2005-08-22","22 Aug 2005","4.165999","-2.094934","1.176388","-2.384917","3.688936","2.402228"
"2005-08-23","23 Aug 2005","4.143402","-2.078892","1.167937","-2.361024","3.696521","2.520485"
"2005-08-24","24 Aug 2005","4.117753","-2.048462","1.173897","-2.360686","3.700592","2.518445"
"2005-08-25","25 Aug 2005","4.103066","-2.033714","1.161388","-2.383079","3.723591","2.520645"
"2005-08-26","26 Aug 2005","4.100813","-2.032940","1.170957","-2.360745","3.717842","2.585432"
"2005-08-29","29 Aug 2005","4.100489","-2.036489","1.182991","-2.344691","3.715903","2.623201"
"2005-08-30","30 Aug 2005","4.122672","-2.069243","1.199439","-2.306801","3.699873","2.710209"
"2005-08-31","31 Aug 2005","4.120499","-2.059206","1.117789","-2.383831","3.811196","2.726677"
"2005-09-01","01 Sep 2005","4.062488","-2.019965","1.158431","-2.405577","3.835129","2.586839"
"2005-09-02","02 Sep 2005","4.056672","-2.015480","1.140237","-2.452104","3.871575","2.549676"
"2005-09-05","05 Sep 2005","4.034023","-1.990508","1.149148","-2.462332","3.881342","2.521323"
"2005-09-06","06 Sep 2005","4.044549","-2.005202","1.188443","-2.414021","3.863943","2.567742"
"2005-09-07","07 Sep 2005","4.046230","-2.004448","1.202277","-2.406112","3.862237","2.562104"
"2005-09-08","08 Sep 2005","4.039997","-1.990703","1.188604","-2.432085","3.888384","2.574107"
"2005-09-09","09 Sep 2005","4.030527","-1.983277","1.187809","-2.419302","3.902909","2.689430"
"2005-09-12","12 Sep 2005","4.102633","-2.066690","1.243334","-2.357039","3.909094","2.782205"
"2005-09-13","13 Sep 2005","4.150947","-2.116728","1.207595","-2.386612","3.952817","2.895623"
"2005-09-14","14 Sep 2005","4.113926","-2.079169","1.215000","-2.368577","3.957025","2.951879"
